Variable Name/Key,🟡 DC English Current,⚪ SOURCE English,🟡 DC Español Current,⚪ SOURCE Español,🟡 DC Amharic Current,Notes
GLOBAL - Placeholder - Select one,- Select one -,- Select one -,- Selecciona una opción-,- Selecciona una opción-,,
GLOBAL - Options - January - February,"January

February

March

April

May

June

July

August

September

October

November

December","January

February

March

April

May

June

July

August

September

October

November

December","enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre","enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre",,
GLOBAL - Options - January,January,January,"enero

",enero,,
GLOBAL - Options - February,February,February,febrero,febrero,,
GLOBAL - Options - March,March,March,marzo,marzo,,
GLOBAL - Options - April,April,April,abril,abril,,
GLOBAL - Options - May,May,May,mayo,mayo,,
GLOBAL - Options - June,June,June,junio,junio,,
GLOBAL - Options - July,July,July,julio,julio,,
GLOBAL - Options - August,August,August,agosto,agosto,,
GLOBAL - Options - September,September,September,septiembre,septiembre,,
GLOBAL - Options - October,October,October,octubre,octubre,,
GLOBAL - Options - November,November,November,noviembre,noviembre,,
GLOBAL - Options - December,December,December,diciembre,diciembre,,
GLOBAL - Option - None of the above,None of the above,None of the above,Ninguna de las anteriores,Ninguna de las anteriores,,
GLOBAL - Required Fields,Asterisks (*) indicate a required field.,Asterisks (*) indicate a required field.,Los asteriscos (*) indican que es un campo requerido.,Los asteriscos (*) indican que es un campo requerido.,,
GLOBAL - Helper Select at least one,Select at least one option.,Select at least one option.,Selecciona por lo menos una opción.,Selecciona por lo menos una opción.,,
GLOBAL - Email,Email,Email,Correo electrónico,Correo electrónico,,
GLOBAL - Phone,Phone,Phone,Teléfono,Teléfono,,
GLOBAL - Physical mail,Physical mail,Physical mail,Correo físico,Correo físico,,
GLOBAL - Email address,Email address,Email address,Correo electrónico,Correo electrónico,,
GLOBAL - Phone number,Phone number,Phone number,Número de teléfono,Número de teléfono,,
GLOBAL - Label Send Cards to Preferred Address,Do you want us to send DC SUN Bucks cards for all of your enrolled students to your preferred address?,Do you want us to send Summer EBT cards for all of your enrolled children to your preferred address?,¿Quieres que enviemos las tarjetas de DC SUN Bucks para todos tus estudiantes inscritos a tu dirección de preferencia?,¿Quieres que enviemos Tarjetas Summer EBT para todos tus niños inscritos a tu dirección de correspondencia preferida?,,
GLOBAL - Co-loaded Card Helper,"If your family uses a SNAP or TANF EBT card to spend your student's DC SUN Bucks, you cannot order a replacement card here.","If your child is eligible for Summer EBT through SNAP or Colorado Works (TANF) participation, they will not receive a Summer EBT card.","Si tu estudiante es elegible para DC SUN Bucks a través de la participación en SNAP o Colorado Works (TANF), no recibirá una tarjeta de DC SUN Bucks.","Si tu niño/a es elegible para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no recibirá una tarjeta Summer EBT.",,
GLOBAL - Co-loaded Card Helper Link,Tap here to learn how to replace SNAP or TANF EBT cards,Tap here to learn how to replace SNAP or TANF EBT cards,Toca aquí para aprender cómo reemplazar las tarjetas EBT de SNAP o TANF,Toca aquí para aprender cómo reemplazar las tarjetas EBT de SNAP o TANF,,
GLOBAL - Yes,Yes,Yes,Sí,Sí,,
GLOBAL - No,No,No,No,No,,
GLOBAL - Action - Back,Back,Back,Regresar,Regresar,,
GLOBAL - Label - Select One,Select one,Select one,Selecciona una opción,Selecciona una opción,,
GLOBAL - Street Address,Street address,Street address,Dirección,Dirección,,
GLOBAL - Helper Street Address,"Include direction, NW, NE, SE, or SW.","Include direction, NW, NE, SE, or SW.","Incluye la dirección: NO, NE, SE o SO.","Incluya la dirección: NW, NE, SE o SO.",,
GLOBAL - Street Address 2,Street address line 2,Street address line 2,"Dirección, línea 2","Dirección, línea 2",,
GLOBAL - Helper Street Address 2,"For example, an apartment number, unit number, floor, or PO Box.","For example, an apartment number, unit number, floor, or PO Box.","Por ejemplo, número de apartamento, número de unidad, piso o apartado postal","Por ejemplo, número de apartamento, número de unidad, piso o apartado postal",,
GLOBAL - City,City,City,Ciudad,Ciudad,,
GLOBAL - Default City,Washington,   ,Washington,   ,,
GLOBAL - State or Territory,State or territory,State or territory,Estado o territorio,Estado o territorio,,
GLOBAL - Default State or Territory,District of Columbia,Colorado,Distrito de Columbia,Colorado,,
GLOBAL - ZIP Code,ZIP Code,ZIP Code,Código postal,Código postal,,
GLOBAL - Label Make Preferred Mailing Address,Do you want to make this your preferred mailing address?,Do you want to make this your preferred mailing address?,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,,
GLOBAL - Apply Online,Apply online,Apply online,Aplicar en línea,Aplicar en línea,,
GLOBAL - Apply Online Link,,,,,,
GLOBAL - Sign Up,Sign up,Sign up,Regístrate,Regístrate,,
GLOBAL - Download Application,Download Application,Download Application,Descargar la aplicación,Descargar la aplicación,,
GLOBAL - Action - Log In,Log in,Log in,Iniciar sesión,Iniciar sesión,,
GLOBAL - Action - Log In Esp,Iniciar sesión,Iniciar sesión,Log in ,Log in,,
GLOBAL - Label - Suggested Address,Suggested address,Suggested address,Dirección sugerida,Dirección sugerida,,
GLOBAL - Label - Address Entered,Address you entered,Address you entered,La dirección que ingresaste,La dirección que ingresaste,,
GLOBAL - Label - Select All,Select all that apply,Select all that apply,Selecciona todas las que correspondan,Selecciona todas las que correspondan,,
GLOBAL - Text,Text,Text,Texto,Texto,,
GLOBAL - Link FAQs,FAQs,FAQs,Preguntas frecuentes,Preguntas frecuentes,,
GLOBAL - Title Contact Us,!N/A!,Summer EBT Help Desk,!N/A!,Línea de ayuda de Summer EBT,!N/A!,
GLOBAL - Link Contact Us,Contact Us,Contact us,Contáctanos,Contáctanos,,
GLOBAL - Link Contact Us 2,!N/A!,,!N/A!,,,
GLOBAL - Link Public Notices,Public Notifications,Public Notifications,Notificaciones públicas,Notificaciones públicas,,
GLOBAL - Title Accessibility,!N/A!,Accessibility at CDHS,!N/A!,Accesibilidad en CDHS,!N/A!,
GLOBAL - Body Accessibility,!N/A!,"CDHS is committed to meeting members of our community where they are, and strives to provide all Coloradans with access to our programs, services, resources, activities and communication regardless of ability.",!N/A!,"El Departamento de Servicios Humanos de Colorado (CDHS) se compromete a atender a los miembros de nuestra comunidad donde se encuentren y se esfuerza por brindar a todos loa habitantes de Colorado acceso a nuestros programas, servicios, recursos, actividades y comunicación, independientemente de sus capacidades.",!N/A!,
GLOBAL - Link Accessibility,Accessibility,Accessibility,Accesibilidad,Accesibilidad,,
GLOBAL - Link Privacy Policy,Privacy and Security,Privacy and Security,Privacidad y seguridad,Privacidad y seguridad,,
GLOBAL - Link Google Translate,Google Translate Disclaimer,Google Translate Disclaimer,Aviso legal del Traductor de Google,Aviso legal del Traductor de Google,,
GLOBAL - Link About,About DC.GOV,About DC.GOV,Acerca de DC.GOV,Acerca de DC.GOV,,
GLOBAL - Link Terms,Terms and Conditions,Terms and Conditions,Términos y condiciones,Términos y condiciones,,
GLOBAL - Copyrite,© 2026 District of Columbia,© [YYYY] District of Columbia,© 2026 Distrito de Columbia,© [YYYY] Distrito de Columbia,,
GLOBAL - Alert Beta,!N/A!,This site is currently in beta. Some features may be incomplete or missing.,!N/A!,Este sitio está actualmente en versión beta. Es posible que algunas funciones estén incompletas o no disponibles.,!N/A!,
VALIDATION - Summary,"We're sorry. Some required questions aren't filled or we can't accept some of the answers. We'll be able to continue your application once these issues are fixed.

If you need additional support (especially in a language other than English or español), please contact us.","We're sorry. Some required questions aren't filled or we can't accept some of the answers. We'll be able to continue your application once these issues are fixed.

If you need additional support (especially in a language other than English or español), please contact us.","Lo sentimos. Algunas preguntas requeridas no están completas o no podemos aceptar algunas de las respuestas. Podremos continuar con tu solicitud una vez que se solucionen estos problemas. Si necesitas apoyo adicional (especialmente en un idioma distinto de inglés o español), comunícate con nosotros.","Lo sentimos. Algunas preguntas requeridas no están completas o no podemos aceptar algunas de las respuestas. Podremos continuar con tu solicitud una vez que se solucionen estos problemas.

Si necesitas apoyo adicional (especialmente en un idioma diferente al inglés o español), por favor contáctanos.",,
VALIDATION - Required,This is required,This is required,Esto es requerido,Esto es requerido,,
VALIDATION - Select Option,Select an option,Select an option,Selecciona una opción,Selecciona una opción,,
VALIDATION - Enter Phone,"Provide a valid phone number, including the area code","Provide a valid phone number, including the area code","Ingresa un número de teléfono válido, incluyendo el código de área","Ingresa un número de teléfono válido, incluyendo el código de área",,
VALIDATION - Enter ZIP,Provide a valid ZIP Code with at least five numbers,Provide a valid ZIP Code with at least five numbers,Ingresa un código de área válido con por lo menos cinco números,Ingresa un código de área válido con por lo menos cinco números,,
VALIDATION - Select Month,Select a month,Select a month,Selecciona un mes,Selecciona un mes,,
VALIDATION - Enter Day,Provide a day using one or two numbers,Provide a day using one or two numbers,Escribe un día usando uno o dos números,Escribe un día usando uno o dos números,,
VALIDATION - Enter Year,Provide a year using four numbers,Provide a year using four numbers,Escribe un año usando cuatro números.,Escribe un año usando cuatro números,,
VALIDATION - Select Year,Select a year,Select a year,Selecciona un año,Selecciona un año,,
VALIDATION - Enter Email,Provide a valid email address,Provide a valid email address,Ingresa un correo electrónico válido,Ingresa un correo electrónico válido,,
VALIDATION - SSN,Provide a valid Social Security Number with 9 numbers,Provide a valid Social Security Number with 9 numbers,Ingrese un número de Seguro Social válido con nueve números,Ingrese un número de Seguro Social válido con nueve números,,
VALIDATION - ID Number,Provide a valid ID number that is 7 or 8 digits long,Provide a valid ID number that is 7 or 8 digits long,Proporciona un número de identificación válido de 7 u 8 dígitos,Proporciona un número de identificación válido de 7 u 8 dígitos,,
VALIDATION - OTP Invalid,Enter a valid [6] digit code. Tap here to send a new code.,Enter a valid [6] digit code. Tap here to send a new code.,Ingresa un código válido de 6 dígitos. Toca aquí para enviar un nuevo código,Ingresa un código válido de 6 dígitos. Toca aquí para enviar un nuevo código.,,
VALIDATION - Global Internal Error,An error occurred on our end. Please try again.,An error occurred on our end. Please try again.,"Ocurrió un error de nuestro lado. Por favor, inténtalo de nuevo.","Ocurrió un error de nuestro lado. Por favor, inténtalo de nuevo.",,
VALIDATION - Global Sign-in Error,There was an issue signing in. Please try again.,There was an issue signing in. Please try again.,"Hubo un problema al iniciar sesión. Por favor, inténtalo de nuevo.","Hubo un problema al iniciar sesión. Por favor, inténtalo de nuevo.",,
VALIDATION - New Code,A new code has been sent to your email.,A new code has been sent to your email.,Se ha enviado un nuevo código a tu correo electrónico.,Se ha enviado un nuevo código a tu correo electrónico.,,
PROTO - S1 - Optional ID Information - Title 2,We checked our records and need more information to see if Kalai F. Curtis can get DC SUN Bucks,We checked our records and need more information to see if Kalai F. Curtis can get Summer EBT,Revisamos nuestros registros y necesitamos más información para ver si Kalai F. Curtis puede recibir DC SUN Bucks,Revisamos nuestros registros y necesitamos más información para ver si Kalai F. Curtis puede recibir Summer EBT,,
PROTO - S2 - Portal Dashboard - Card Table - Kalai Frances Curtis' card,Kalai Frances Curtis' card,Kalai Frances Curtis' card,Tarjeta de Kalai Frances Curtis,Tarjeta de Kalai Frances Curtis,,
PROTO - S2 - Portal Dashboard - Card Table - Caleb David Curtis' card,Caleb David Curtis' card,Caleb David Curtis' card,Tarjeta de Caleb David Curtis,Tarjeta de Caleb David Curtis,,
PROTO - S2 - Portal Dashboard - Card Table - 1234 (last 4 digits),1234 (last 4 digits),1234 (last 4 digits),1234 (últimos 4 dígitos),1234 (últimos 4 dígitos),,
PROTO - S2 - Portal Dashboard - Card Table - 5678 (last 4 digits),5678 (last 4 digits),5678 (last 4 digits),5678 (últimos 4 dígitos),5678 (últimos 4 dígitos),,
PROTO - S2 - Portal Dashboard - Card Table - Status Requested On 1,Requested on 04/01/2024,Requested on 04/01/2024,Solicitada el 04/01/2024,Solicitada el 01/04/2024,,
PROTO - S2 - Portal Dashboard - Card Table - Status Requested On 2,Requested on 05/05/2024,Requested on 05/05/2024,Solicitada el 05/05/2024,Solicitada el 05/05/2024,,
PROTO - S4 - Mailing Address Update - Title Caleb David Curtis,Tell us where to safely send Caleb David Curtis' mail,Tell us where to safely send Caleb David Curtis' mail,Cuéntanos a qué dirección podemos enviar de forma segura el correo de Caleb David Curtis,Cuéntanos a qué dirección podemos enviar de forma segura el correo de Caleb David Curtis,,
PROTO - S5 - Bulk Order New Cards Who - Card Number Kalai,Card number: 1234 (last 4 digits),Card number: 1234 (last 4 digits),Número de tarjeta: 1234 (últimos 4 dígitos),Número de tarjeta: 1234 (últimos 4 dígitos),,
PROTO - S5 - Bulk Order New Cards Who - Card Number Caleb,Card number: 6789 (last 4 digits),Card number: 5678 (last 4 digits),Número de tarjeta: 5678 (últimos 4 dígitos),Número de tarjeta: 5678 (últimos 4 dígitos),,
PROTO - First Name 1,Kalai,Kalai,Kalai,Kalai,,
PROTO - Middle Name 1,Frances,Frances,Frances,Frances,,
PROTO - Last Name 1,Curtis,Curtis,Curtis,Curtis,,
PROTO - Birthdate Month 1,August,August,agosto,agosto,,
PROTO - Birthdate Day 1,13,13,13,13,,
PROTO - Birthdate Year 1,2017,2017,2017,2017,,
PROTO - Name 1,Kalai Frances Curtis,Kalai Frances Curtis,Kalai F. Curtis,Kalai F. Curtis,,
PROTO - Birthdate 1,"August 13, 2017",42960,42960,"agosto 13, 2017",,
PROTO - Name 2,Caleb David Curtis,Caleb David Curtis,Caleb David Curtis,Caleb David Curtis,,
PROTO - First Name 2,Caleb,Caleb,Caleb ,Caleb,,
PROTO - Middle Name 2,David,David,David,David,,
PROTO - Last Name 2,Curtis,Curtis,Curtis,Curtis,,
PROTO - Birthdate 2,"January 7, 2009",39820,39820,"enero 7, 2009",,
PROTO - Birthdate Month 2,January,January,enero,enero ,,
PROTO - Birthdate Day 2,7,7,7,7,,
PROTO - Birthdate Year 2,2009,2009,2009,2009,,
PROTO - LOGIN EMAIL,frances.curtis@gmail.com,frances.curtis@gmail.com,frances.curtis@gmail.com,frances.curtis@gmail.com,,
PROTO - S2 - Portal Dashboard - Alert Address Title,A replacement for the card ending in 1234 will be sent to the following address,A replacement for the card ending in 1234 will be sent to the following address,Las tarjeta que termina en 1234 será remplazada y enviada a la siguiente dirección,Las tarjeta que termina en 1234 será remplazada y enviada a la siguiente dirección,,
DEV - Loading,Loading...,Loading...,Cargando...,Cargando...,,
DEV - Error Prefix,Error ID:,Error ID:,ID de error:,ID de error:,,
DEV - Log In Refresh,Log in again,Log in again,Inicia sesión de nuevo,Inicia sesión de nuevo,,
DEV - Alert Session,Session expired,Session expired,La sesión ha expirado,La sesión ha expirado,,
DEV - Alert Session Client,Your session has expired. Please log in again to continue.,Your session has expired. Please log in again to continue.,Tu sesión ha expirado. Vuelve a iniciar sesión para continuar.  ,Tu sesión ha expirado. Vuelve a iniciar sesión para continuar.  ,,
DEV - Alert Try Again,Try again,Try again,Intentar otra vez,Intentar otra vez,,
DEV - Alert More Entries,({count}} more entries,({count}} more entries,{{count}} entradas más,{{count}} entradas más,,
DEV - Alert Suggestion,{{count}} suggestion available,{{count}} suggestion available,{{count}} sugerencia disponible,{{count}} sugerencia disponible,,
DEV - Alert Enter Different Address,This address is not available for {{currentState === 'dc' ? 'DC SUN Bucks' : 'Summer EBT'}} card delivery. Please enter a different mailing address.,This address is not available for {{currentState === 'dc' ? 'DC SUN Bucks' : 'Summer EBT'}} card delivery. Please enter a different mailing address.,"Esta dirección no está disponible para la entrega de la tarjeta de {{currentState === 'dc' ? 'DC SUN Bucks' : 'Summer EBT'}}. Por favor, ingresa una dirección postal diferente.","Esta dirección no está disponible para la entrega de la tarjeta de {{currentState === 'dc' ? 'DC SUN Bucks' : 'Summer EBT'}}. Por favor, ingresa una dirección postal diferente.",,
DEV - Alert Address Unusable,This address can't be used,This address can't be used,Esta dirección no se puede utilizar.,Esta dirección no se puede utilizar.,,
DEV - Alert No Retry,We couldn't start a retry. Please try again in a moment.,We couldn't start a retry. Please try again in a moment.,"No pudimos iniciar un reintento. Por favor, inténtalo de nuevo en un momento.","No pudimos iniciar un reintento. Por favor, inténtalo de nuevo en un momento.",,
DEV - Alert Doc Verify,Something went wrong starting document verification. Please try again.,Something went wrong starting document verification. Please try again.,"Algo salió mal al iniciar la verificación del documento. Por favor, inténtalo de nuevo.","Algo salió mal al iniciar la verificación del documento. Por favor, inténtalo de nuevo.",,
DEV - Alert Verify Identity,We weren't able to verify your identity from the document you uploaded.,We weren't able to verify your identity from the document you uploaded.,No pudimos verificar tu identidad con el documento que subiste.,No pudimos verificar tu identidad con el documento que subiste.,,
DEV - Alert Starting Retry,Starting retry...,Starting retry...,Iniciando reintento...,Iniciando reintento...,,
DEV - Alert Status,Check status,Check status,Verificar estado,Verificar estado,,
DEV - Alert Verification,Verification status,Verification status,Estado de verificación,Estado de verificación,,
DEV - Alert Keep Page Open,This may take a moment. Please don't close this page.,This may take a moment. Please don't close this page.,"Esto puede tardar un momento. Por favor, no cierres esta página.","Esto puede tardar un momento. Por favor, no cierres esta página.",,
DEV - Alert Verify Document,Verifying your document...,Verifying your document...,Verificando tu documento...,Verificando tu documento...,,
DEV - Alert Check Verification,Checking verification status,Checking verification status,Comprobando el estado de verificación,Comprobando el estado de verificación,,
DEV - Alert Verification Delay,Verification is taking longer than expected. You can check the status or try again later.,Verification is taking longer than expected. You can check the status or try again later.,La verificación está tardando más de lo esperado. Puedes verificar el estado o intentarlo de nuevo más tarde.,La verificación está tardando más de lo esperado. Puedes verificar el estado o intentarlo de nuevo más tarde.,,
DEV - Alert Still Checking,We're still checking your document,We're still checking your document,Todavía estamos revisando tu documento,Todavía estamos revisando tu documento,,
DEV - Alert Verification Retry,Unable to start document verification. Please try again.,Unable to start document verification. Please try again.,"No se pudo iniciar la verificación del documento. Por favor, inténtalo de nuevo.","No se pudo iniciar la verificación del documento. Por favor, inténtalo de nuevo.",,
